species,accession,sequence_length,sequence_sha256
M. roreri,MW898079.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898080.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898081.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898082.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898083.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898084.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898085.1,644,5732ba44ab1622c6476fed9c61ee016b31c89fd5146e33a1de581d580b363887
M. roreri,MW898086.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898087.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898088.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898089.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898090.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898091.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898092.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898093.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898094.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898095.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898096.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898097.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898098.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898099.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898100.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898101.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898102.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898103.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898104.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898105.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898106.1,645,de859145e67548b60ae1de5682acacc086de81142771ea9e61da59c6eb727fc3
M. roreri,MW898107.1,645,de859145e67548b60ae1de5682acacc086de81142771ea9e61da59c6eb727fc3
M. roreri,MW898108.1,645,de859145e67548b60ae1de5682acacc086de81142771ea9e61da59c6eb727fc3
M. roreri,MW898109.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898110.1,644,c075974e1d5f7d878997ec4b1761520b55145a6d5abf06d3b906a98a548cac27
M. roreri,MW898111.1,646,538b48264abadcb4f98c84c5710a7956a5408638a153ac076ad22e82cea51896
M. roreri,OM056945.1,665,8ab8ecab351254bf92deea059f9b19a3807cd19d90640498c3532573c2de1a5f
M. roreri,OM056946.1,683,c14d145e13c664f63ed5d6d2a45412c536e34a7de70516ba72f437648630a84a
M. roreri,OM777733.1,556,3c930a447324ab15be2e65da7de60076b3d878773cd986f646173fea0671452f
M. roreri,OM777734.1,669,d7f41659979a76ff024d290610d84c80fec4834256066a83396c9062227d2623
M. roreri,OM777735.1,646,78fe3053bf0aa83a75b11442cc6a1f02236f5e3ac14e5063bb0e582442f24f78
M. roreri,OM777736.1,614,0c78f1e1f871b4f8496db0de48fcdf653d5fae1f81b4842c508cf67cb98dd2ca
M. roreri,OM777737.1,629,f6afb7a9e298dedebe2b45c154dd525adbffa3580659af37b75e13b856310449
M. roreri,OM777738.1,592,bc2f6dd4100c5042c469eca9b182196b48a5954ba746b27c2f8edca98f608caf
M. roreri,OM777739.1,634,cfd496bacc3a5dbc14daa6fff068d214db9e008cc7eab6ce12670b25ce9dd318
M. roreri,OM777740.1,723,ffc7ff05d62dc286a3723256bf8fb06b9372b54b8aede62ed2f5a8eaf2ca30a3
M. roreri,OM777741.1,664,0ded03cd22c1d4cce7fb29b56dc0ce9b00d48a003aac89ad20e093409edc0b87
M. roreri,OM777743.1,653,6ab1c463a99cc5ee35f20899085bfa12c021b670c771f8b14097fd7512fe6311
M. roreri,OM777744.1,774,717d1f7d991622a3067566c13d5ee4e6a1151d49abbb2c9c351304df9d9702be
M. roreri,OM777745.1,755,465bc436b10e7becff027fd69c3d105fdc4ef8ace44ae11c1130fad82ee746c0
M. roreri,OM777746.1,771,8a0a24c424ee46d4f5d849bd8c7bbf21a66ab83128ba0a282788ef8414e195d9
M. roreri,OM777747.1,741,7345380ebb250d75d3844e5ffa4f55738665d174b1ef1532c494b6a537d29b86
M. roreri,OM777748.1,713,95e5035ccff8daf6428bb292ec104b0679eee7bcd238ad603f836c8bd05d0e35
M. roreri,OM777749.1,761,1a22996bd15da270ee314054bf9ce223114936faa3f2132ec88f90fc57735fd4
M. roreri,OM777750.1,728,89e5cae9f61632f7405dc8b4f44ffa9b96103eb864402463fb2497a88d26613e
M. roreri,OM777751.1,723,7c30929a3bf67dce84278d61824e2c4ac2c129c8f708c23241151b9983b9f539
M. roreri,OM777752.1,782,83376eaca9fef71113ee2dc5451b0d51f70d0d1fc592f8f461449072e324f9a3
M. roreri,OM777753.1,677,a2857655dc4b9fffb38f6f6a34a0a1b894d4c21e8c0a7dc63de22431d8b7b426
M. roreri,OM777754.1,758,d2de595a0272c4186e9cc3e69bffc82589b0829f353313865fbf075e90d64183
M. roreri,OM777755.1,711,f4c226ea8a8eb869612fcdc577923474e7a8bf6149a2a8134673cb887bdb6e2c
M. roreri,OM777756.1,762,205abad975e04ba60406f310b99d0aeb4794903b2ac36cdacd6a6a9c470ebd15
M. roreri,OM777757.1,770,877dd61b572b28803946ddd7c30f1c4036e05c48a445061ec052b49dd0f9eb93
M. roreri,OM777758.1,732,017cbdbf299c37fb9498078bd56d3ac2e767b094e704dc85ad418a09aa110b6c
M. roreri,OM777759.1,680,285bf3d23b0a4cba5d6d608b4d4b3fe25f199f556832f3a0e3bfe55952bb2363
M. roreri,OM777760.1,646,97af81fe274e3f1bd5f97ca33ed7f3c8134c90fcf5817eaed6f4f9d6c88b599f
M. roreri,OP781654.1,716,ba9998df29174c3836d5ed1ff9893bdf41f302738062ced578b767ac8337f8a1
M. roreri,OP781680.1,661,a1296f8bd1405af2632e72c16f68dff727aa527e85de62296059018614a7c781
M. roreri,OP784767.1,715,65675c7b9c1d76107e630fa4b9f4f50a24ced30761020e0fc23e15c034ee4c8d
M. roreri,OP784768.1,699,53001d9506f39d39cadb8b3d70293e14bb14f526c4c30cf71a881a74dd580e54
M. roreri,OP784769.1,716,590031eea011186105eac4b18da0bba95a1e5024a5762efe0e5bc092076d5f73
M. roreri,OP784770.1,691,9ff5aa1b752d95431a7860a04b879cce41c0720f8b61a8bcee276511dad65684
M. roreri,OP784771.1,681,1460ab5680cde8a9592a6f6577b47bb49f50d477f56b1bdaad20e0f761aba6f5
M. roreri,OP784772.1,716,590031eea011186105eac4b18da0bba95a1e5024a5762efe0e5bc092076d5f73
M. roreri,OP784773.1,679,2670926e66eb61f8019c8d7bd854fb278bec87cc235af44f33ca8429d93ce5a6
M. roreri,OP784774.1,716,590031eea011186105eac4b18da0bba95a1e5024a5762efe0e5bc092076d5f73
M. roreri,OP784775.1,716,590031eea011186105eac4b18da0bba95a1e5024a5762efe0e5bc092076d5f73
M. roreri,OP784776.1,685,31d8a36a3d8d347cf2a7b975010b80d084611fbb4062c733a76ae73dddfde037
M. roreri,OP806971.1,717,30c3c39f3b54427a1e9b079a22fe7178d754434b89bd78418ccf942f40b19f01
M. roreri,OP807112.1,674,d19c89fa724f4460a6bc9f87c3f3bc4d259229bfe010ed821612fb1af1a98846
M. roreri,OP807173.1,696,01c2ff66787196233552b7a18110170aa5c61045105cd08717802f9c099bd642
M. roreri,OP820438.1,699,53001d9506f39d39cadb8b3d70293e14bb14f526c4c30cf71a881a74dd580e54
M. roreri,OP820439.1,687,7e84ae4669c69b2c0b011e12c5935c8d4493ac8d9819bf9f2ed62b9716204bbe
M. roreri,OP820440.1,716,ba9998df29174c3836d5ed1ff9893bdf41f302738062ced578b767ac8337f8a1
M. roreri,OP820441.1,691,9ff5aa1b752d95431a7860a04b879cce41c0720f8b61a8bcee276511dad65684
M. roreri,OP820443.1,716,590031eea011186105eac4b18da0bba95a1e5024a5762efe0e5bc092076d5f73
M. roreri,OR225507.1,918,ba63f304b5c1e2c38319aa848c9b73a9db68b743b7f6e2243afe6766c37c82f6
M. roreri,OR228889.1,687,43996c2dd9be156b75840a38829b2db5e12c2cbdd5d4869892ff3d3a6d7cae7f
M. roreri,PP976973.1,449,95f4c17a434fb2bd9b87264af3e71f3940d445cf01ff60cb73c655b7ae4aca12
M. roreri,PV081856.1,671,942dacffd2879036bb68f292beb2f68c57bba8d5479feca0079c9a3416fcac5c
M. roreri,PV233880.1,625,a7af7ecfcaf7612aefdf2ae0cff0c5a59d6713bfc15140b7f7c5b3b4917904cd
M. roreri,PV577357.1,751,7fbba9a4f67cafc61b5e3698a81113096ac57bee93d506a2b409924f6d5a3be7
M. roreri,PV577358.1,646,a08660a8194e5ad24a848199b521f441e30e1ed0ef58c4aa266cdc74e71e3fcc
M. roreri,PV577359.1,689,5cf3ed213ef73a37554e47656aeeb92629c9d10ca3ac379b5428159bee2ef46a
M. roreri,PV577360.1,655,2589a98b092f8672151345717495f1f3e2c4646bb0ef80b6fea6112a464cc3e4
M. roreri,PV577361.1,642,e10b48f6210d6d7c10cbd26c459fe54d01ebcaf3e62c47ead89ab4530fde200e
M. roreri,PV577362.1,679,151cca9a955291199bfe2bb134853f398055728bf22dc37e2d89a8db7faf0030
M. roreri,PV577363.1,698,207a59f5b010594a63a1a90ca4885c117a45ddc4389ea343755c5459ca3e7378
M. roreri,PV577364.1,646,68b6638d6e2c2e4bb94d3ed02990fb54ca41b2ad0027f566b78ff4e48715bd21
M. roreri,PV577365.1,693,4bed82bb4f32dcd76a5b4a52787c95b0f68be0bbd9d568d30422ed8a15346499
M. roreri,PV577366.1,667,48f831f248ac2f03eeb8d1988987b89d74d34aa38d616ed804be6086f5ecbb74
M. roreri,PV577367.1,691,ccbed822e2e1b0a437197f18b6bb4f9470db8a0c86172d4269de87a4d2969fcd
M. roreri,PV577368.1,684,863598dcd96f40b9efb7098056d11115fa9a44cc45e7daa1bab279a6f4a73219
M. roreri,PV577369.1,671,5ad2adc38356afc7b9211678f459e0d5c644528fb7934489e155169ad28b40ed
M. roreri,PV577370.1,668,e893f58d6ac9f82dbf61805b9842a6d721c61496ca5a68f330fec7cfc9d00157
M. roreri,PV577371.1,658,da0ac5e93f0f58affd6e7824a9c40014bb64f0691cbf59113b0a6efca2623f18
M. roreri,PV577372.1,662,72d16d0d77a77de704b29c37f51f122b7163c5f556832801d2169d517cdf9c53
M. roreri,PV577373.1,644,22256b577e54ef4e671c907dc858302345f921e5b8a9bc0777d5369459bb0ac0
M. roreri,PV577374.1,714,edc0cd4e1211cf9d4279ca1059a061f7e0f16bb795b444c39a426389b6a5bef1
M. roreri,PV577375.1,667,692cb2b599884524c2f42af5f5f4951875a186c9480dbea0e249a7ca1096e386
M. roreri,PV577376.1,709,94adfd2213c8b867bc77709caa978b039b5c0939a7fc1c20a6fb25fa13d1350e
M. roreri,PV577377.1,609,7357b8e64a9f9b2d9a8d2f21ad2e65f07e767e8c935efb7324e529b6a37b9339
M. roreri,PV577378.1,679,5ce67f3cabb3793d7b184b163e77591b41eacbb543cfe9284723c2a2d6caa6db
M. roreri,PV577379.1,640,d7c62feaa57949b41587e742afc30c8a6b77a612a8ed71bfae6cb80021db1367
M. roreri,PV577380.1,723,8fac52c80e648458cb548b418f792d98a6ecf16b3bdd167bb036312039e1832f
M. roreri,PV577381.1,678,29806f843cdd8a64a387c289616f9b6bddc885adfbfc597403c1805ec0d72308
M. roreri,PV577382.1,715,92f107e936c017dac01bbfb1c88a1c7a48639c54561d148c2315584affc78b41
M. roreri,PV577383.1,693,47e606917e034255141970839fdefaecdf0e3f41913057b3f579fcaaf9663401
M. roreri,PV577384.1,655,4557495caba74f6c7fc7008a34e81876a5f8cc53dd41cc0bea78f1ca59c11f6d
M. roreri,PV577385.1,655,c7c29bd735458d78a7d369e5174e7e20ad44e5eeabafd6246d3f8fc01687a438
M. roreri,PV577386.1,670,106f7f8e6fabda75e22ddaef69c222ff9511b2569002ddbec83e0c176f46550d
M. roreri,PV577387.1,688,d854ec646be67bf4d78d8eadffc7fd1310ed38087dcb2b2eb0f4587669daa13f
M. roreri,PV577388.1,678,066b419ef58626cd9f301d128546b846513e1704aeea58b849d360dfa0e1eac3
M. roreri,PV577389.1,639,6879a5dc89935aa823108521f2884fbd179518ee579f08c344ccba48ff6fc443
M. roreri,PV577390.1,699,d4ceb659593df60ec1ea7c4f2212c16c660acb2c2582f24332bef5d9255eb948
M. roreri,PV577391.1,661,3d4b3ac1be1e1099461983dec0e3613de577a5f8ffc6f5d8240ffe90395021c3
M. roreri,PV577392.1,598,18080be48db565eb46fe460b02bee5ab36e07b7abbc4a4fa0834d2fa2752c5b8
M. roreri,PX612220.1,417,8cc9227004a311c99e189854b516cdbd6ad258c361d98f9752901d10ef7142f8
M. roreri,PZ345229.1,604,0756313fc8d00b052b9dbdbf53ebc077477f62bcf9a577529568071a5ac2431b
M. roreri,PZ345235.1,598,d001bd25409c5392742eea40c226645a12df82cb0905deec0f4987a2f5b8c3a9
M. roreri,PZ346327.1,763,ddce242f66f6a93099fde6e364453f42f4eb34de6130bfc5cadd17c82ffe32f6
M. roreri,PZ346328.1,750,e33c782f7ced6070a2e6c252a40e1684c705fb500f5516f904e7c7aa7249dcd6
M. roreri,PZ346329.1,750,d433e708d778bea3c17615ca775403d6b284128b1bb83bb9155209d04ec756ba
M. roreri,PZ349273.1,740,a2fda13483b5bf6528cee1b5503b7968c37280aaa08943ca82ba2babaaea41e3
P. megakarya,AB367390.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,AF266782.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,AF467095.1,833,5e7594a3e37ed7e758f62bb475d798500f8a33f6e08e70d1f5c41c986e86531c
P. megakarya,AF467096.1,833,5e7594a3e37ed7e758f62bb475d798500f8a33f6e08e70d1f5c41c986e86531c
P. megakarya,AF467097.1,837,ddcc9a71ba36f30f4bb6f45f188fe773805082c43cd39a23185ab8490b423718
P. megakarya,AF467098.1,834,e8336582a1c0e0989462ec00834040ee7ce7fae994fd589b92f1994af042efab
P. megakarya,AF467099.1,834,ac5fd5e0380b3123778a0f02c99dceaad246ea51d649546b8e4bc15dd20d6c2f
P. megakarya,AF467100.1,834,a45991997e0cff950c02f510008c9a34fa086652aa84101ee45e7b2c749ff39e
P. megakarya,AJ515920.1,782,be3ade3731f58227264d4c037581b6082c1d30721c4afd7768fdc5abe16c0f0b
P. megakarya,AJ517466.1,782,be3ade3731f58227264d4c037581b6082c1d30721c4afd7768fdc5abe16c0f0b
P. megakarya,EU079974.1,1340,4b1fe1b81b41d5cb51551a8aa6f459bd06f0edca9180a6926596c3bc8b06a150
P. megakarya,EU079981.1,1340,4b1fe1b81b41d5cb51551a8aa6f459bd06f0edca9180a6926596c3bc8b06a150
P. megakarya,EU079987.1,1340,4b1fe1b81b41d5cb51551a8aa6f459bd06f0edca9180a6926596c3bc8b06a150
P. megakarya,FJ801781.1,769,301e2cd2385da4928177241814e9ff71b86df3859efaa1ed7e3845910bacbac8
P. megakarya,FJ802010.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,FJ802011.1,778,abec069556c903f84383b8ee87866d1ce6b6b247383ee75792f076d13cca0599
P. megakarya,FJ802012.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,GU259099.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,GU993904.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,HQ261356.1,680,930a616034e084452ad017774fbe87f0609fa47b8126644ad437b90d2aa9bf47
P. megakarya,HQ261357.1,680,db66190a00390f595b8f1593ef37de2c43cf43c2508a9e0b8a7df546f0495fc8
P. megakarya,HQ261358.1,680,09999a3b82a4640bcc989ba1fe4d52c3ab06601eb53638be86ff54e9d8f17fbe
P. megakarya,HQ261609.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,HQ261610.1,766,3c9ff71128c22527f358ff8b5c8a352099dfc49ac1a4d6a7d3bb20dec9173df9
P. megakarya,HQ261611.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,JN635089.1,1705,68b757e75bee3970451e5afa28cdcfe88076edfa6938e6c1d1210bbf1d1eaa48
P. megakarya,JN635247.1,1704,b13b3a9a01f920ebeb4db9dae25d66bf6403170e30257bc37dc048c7c924903f
P. megakarya,JN635250.1,1704,b13b3a9a01f920ebeb4db9dae25d66bf6403170e30257bc37dc048c7c924903f
P. megakarya,JX315261.1,818,c1fe2d423004d830cba5039a312f7eaf994e65045a1d94cef66ff9a9d2c42fcb
P. megakarya,JX315262.1,824,f83b219429e5e451fe56c4b58f10c0e4e29d0176c183a701676af7a283ed294f
P. megakarya,JX315263.1,824,f83b219429e5e451fe56c4b58f10c0e4e29d0176c183a701676af7a283ed294f
P. megakarya,JX315264.1,824,f83b219429e5e451fe56c4b58f10c0e4e29d0176c183a701676af7a283ed294f
P. megakarya,JX315265.1,824,f83b219429e5e451fe56c4b58f10c0e4e29d0176c183a701676af7a283ed294f
P. megakarya,JX315266.1,818,1b5bab671d5a427e7f8f6433f30ec97db1343e28190867126682550025f809bb
P. megakarya,KF317085.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818099.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818100.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818101.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818117.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818119.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818120.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818122.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818125.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818126.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818127.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818128.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818129.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818136.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818137.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818138.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818139.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818140.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818141.1,783,2bfabd0273aecad6f2ccb3ffb3212c33de2dc22b063936aef4e4165d3e8bc24e
P. megakarya,KR818142.1,783,cd9976b7c512dad891b7f852a889855a26607d14a1e765e0b0bb01f5924579ef
P. megakarya,KR818144.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818145.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818147.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818149.1,782,cb5ab99e454a9b8fa031b3c4ecc64a65356de23c86f6af827f6a5694e82fe578
P. megakarya,KR818150.1,782,cb5ab99e454a9b8fa031b3c4ecc64a65356de23c86f6af827f6a5694e82fe578
P. megakarya,KR818155.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818163.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818164.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818165.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818183.1,783,6cdd8c00e7736ce67e37abea7c24490af74be9c6d1fe194bc22c72cd3e3c1980
P. megakarya,KR818184.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818185.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818187.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818188.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818189.1,783,991a55645df1f0ccb27b388b844f9d47d02d1c6efcabf0474f91319ed274d322
P. megakarya,KR818190.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818191.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818201.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818203.1,783,d485b6fe836f29fdd17baf63f6cfb94cc713e811992cfc48897ee61e27d2f88d
P. megakarya,KR818206.1,779,5eb1297be776eb0af37b2caaaf1dbb5e1f2b8937eb2529e12f3aa51bce13743b
P. megakarya,KR818209.1,781,f0e769e9638290a6fcd282b38da0b735793b7604c5f1d89092a217c8e600e45a
P. megakarya,KR818210.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818211.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KR818212.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KT183040.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,KX251032.1,1262,39ae167eb9045f6b228e6a5b1d3229c0fdf0ce930e4c13b736482191ab6a817f
P. megakarya,KX251039.1,1262,4ec551b6ed1414cdd9b863ae9858219705899a5ebbb2a44e417fffb67af9bb4d
P. megakarya,KX251046.1,1262,39ae167eb9045f6b228e6a5b1d3229c0fdf0ce930e4c13b736482191ab6a817f
P. megakarya,LC595791.1,783,6b92ffeced38db1bb7f969778712d7345a07e7825cba09b2ad519ac829095646
P. megakarya,MG865533.1,821,af0f6793e59daf11feb27c425e327347605e2889e265ff3622567c94f47e0aa7
P. megakarya,MG865534.1,818,f8c6cce60ea1485f02384d643f744cbdc368ad929f3d7c03b88c3434c219b47b
P. megakarya,MH401202.1,871,4d5ea5504acd163ae0176987483e36fc6ced0102bee1fc9f908af130a61729f5
P. megakarya,MH401203.1,870,331b49cbb7bc282cd864bc01c9b9343b6edcc63df71d00815531da857b764424
P. megakarya,MH401204.1,871,0175f9c3288292202a17f7b1e7d052298f462c3d33b56fe16e8edd7671866fd1
P. megakarya,MH620121.1,783,bd0b02a1a957277f0fdc305f09bbc5d61d44d3bd2431ff992473c51c0ed86639
P. megakarya,MZ541057.1,851,e370a6d207b9ee1943022b4151261147b39d176261a2598b2e664294a73a0416
P. megakarya,MZ541882.1,852,41cf637d329cc6804b5b3d8c8e406a871f5c9600913d2bd2a032ddfe2c916672
P. megakarya,NBNE01000143.1,37416,9d4b7579758949074aba815ef3549ecbea2a0399fcf037af64da0215604bec8f
P. megakarya,NBNE01003487.1,6985,d161ff2d569d88ca78f42cb94e62e0af096cb6b3da3c29540dcf448b9b946603
P. megakarya,PQ157645.1,549,18c300ad82e62d2297cf4a2a94c132ab00638e3be963f7bc1c91a487214895f3
P. megakarya,S40356.1,251,8276c80ad47fb882984bb4fe1464229513996d3343bc011ec47f5698f1544c17
P. megakarya,S40358.1,439,d5d59e4b2d16f2e573c07ae790d7b511aeb9752221ec0906a81d9e04fe580cff
P. palmivora,AB367357.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB367358.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB367359.1,786,fc04a41093f49ff4c8480c09692ef6a9b5c1972b80dffe3e132e10bb7d87634b
P. palmivora,AB367360.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB367361.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB367500.1,786,3c499091cdb20d6c9e24005c30709254003a9ae486c002844557f17ab3199ec5
P. palmivora,AB367514.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB669142.1,780,c4e6aac25c23742b529a831322530c3d61681b27f177282470546dd86673fb1b
P. palmivora,AB688395.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB688396.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB688397.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB688398.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB688399.1,786,9f4c4e44b4afe08af403664686cef2778f732e29fec880715a61e45eb66a5908
P. palmivora,AB688400.1,786,3c499091cdb20d6c9e24005c30709254003a9ae486c002844557f17ab3199ec5
P. palmivora,AB688401.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB688402.1,787,d4ea0cb7663a203fd8c1905fa9b33135535ff801de3d938ebc3b217f48b6fc9a
P. palmivora,AB688403.1,786,cfca8f7401ebed3ec7fb8280b441d408c0355421701ea99c18884e4ddae32d79
P. palmivora,AB688415.1,786,c43fcae20e15d705fdc3fe3e9818ab6a3bff0df681d6a036d0e26556528a87c7
